sqft,url,price,locality,postalCode,Type,Year built,Heating,Cooling,Parking,Price/sqft,beds,baths,timeOnZillow,views,saves,zestimate,rentalZestimate,ele_rating,ele_dist,mid_rating,mid_dist,high_rating,high_dist,original_city
"2,224",https://www.zillow.com/homedetails/6632-Mount-Wellington-Dr-San-Jose-CA-95120/19835435_zpid/,"$1,625,000",San Jose,95120,Single Family,1969,Forced air,Central,0,$731,4,2.0,2 days,731,34,"$1,682,790","$4,795/mo",8,0.8 mi,8,0.8 mi,9,0.8 mi,san-jose-ca
"1,203",https://www.zillow.com/homedetails/5844-Pentz-Way-San-Jose-CA-95123/19827625_zpid/,"$999,000",San Jose,95123,Single Family,1966,Forced air,None,0,$830,3,2.0,2 days,541,36,"$1,067,379","$3,400/mo",4,0.3 mi,6,1.6 mi,6,0.9 mi,san-jose-ca
"2,041",https://www.zillow.com/homedetails/237-Rayos-Del-Sol-Dr-San-Jose-CA-95116/79843095_zpid/,"$899,000",San Jose,95116,Single Family,2006,"Forced air, Gas",Central,0,$440,4,3.0,27 days,"5,091",281,"$938,086","$4,000/mo",3,0.5 mi,3,1.4 mi,6,1.6 mi,san-jose-ca
"1,217",https://www.zillow.com/homedetails/5601-Makati-Cir-San-Jose-CA-95123/19829665_zpid/,"$698,000",San Jose,95123,Townhouse,1985,Forced air,Central,0,$574,2,2.0,3 days,832,67,"$726,137","$3,050/mo",4,0.3 mi,6,1.7 mi,6,0.8 mi,san-jose-ca
"1,463",https://www.zillow.com/homedetails/3036-Remington-Ct-San-Jose-CA-95148/19793178_zpid/,"$999,950",San Jose,95148,Single Family,1967,"Forced air, Electric",Central,0,$683,4,2.0,2 days,"1,226",56,"$1,063,407","$3,600/mo",8,0.3 mi,7,0.3 mi,9,0.7 mi,san-jose-ca
"1,562",https://www.zillow.com/homedetails/483-Valroy-Ct-San-Jose-CA-95123/19823017_zpid/,"$1,198,000",San Jose,95123,Single Family,1971,"Forced air, Gas",Central,0,$767,4,2.0,2 days,749,46,"$1,234,917","$3,700/mo",6,0.4 mi,6,1.6 mi,9,0.8 mi,san-jose-ca
"2,000",https://www.zillow.com/homedetails/2711-Nicasio-Ct-San-Jose-CA-95127/54771691_zpid/,"$965,000",San Jose,95127,Single Family,2000,"Forced air, Gas",Central,0,$483,4,3.0,8 days,"3,239",128,"$1,006,938","$3,790/mo",3,0.3 mi,4,0.4 mi,4,0.6 mi,san-jose-ca
"1,498",https://www.zillow.com/homedetails/1419-Luning-Dr-San-Jose-CA-95118/19758481_zpid/,"$1,250,000",San Jose,95118,Single Family,1962,"Forced air, Gas",Central,0,$834,3,2.0,2 days,486,17,"$1,332,131","$3,600/mo",4,0.4 mi,5,0.6 mi,8,0.7 mi,san-jose-ca
"1,554",https://www.zillow.com/homedetails/1870-Orange-Grove-Dr-San-Jose-CA-95124/19690579_zpid/,"$1,499,000",San Jose,95124,Single Family,2006,Forced air,Central,0,$965,3,2.0,2 days,518,28,"$1,571,485","$4,000/mo",6,0.2 mi,8,0.3 mi,8,1.7 mi,san-jose-ca
776,https://www.zillow.com/homedetails/1129-Cook-St-San-Jose-CA-95126/19558054_zpid/,"$799,000",San Jose,95126,Single Family,1924,"Forced air, Gas",None,0,"$1,030",2,1.0,2 days,"1,054",81,"$814,490","$3,200/mo",4,1 mi,3,0.9 mi,6,1.1 mi,san-jose-ca
"2,532",https://www.zillow.com/homedetails/1132-Pheasant-Hill-Way-San-Jose-CA-95120/19768537_zpid/,"$1,480,000",San Jose,95120,Townhouse,1998,Forced air,Central,0,$585,4,3.0,1 day,341,23,"$1,410,443","$4,351/mo",9,0.6 mi,8,0.9 mi,9,1.2 mi,san-jose-ca
"1,949",https://www.zillow.com/homedetails/30-E-Julian-St-UNIT-303-San-Jose-CA-95112/59683443_zpid/,"$1,088,000",San Jose,95112,Condo,2000,Forced air,Central,0,$558,3,3.0,1 day,151,3,"$1,132,883","$3,800/mo",3,0.5 mi,3,0.9 mi,3,1.5 mi,san-jose-ca
"1,296",https://www.zillow.com/homedetails/1200-Weepinggate-Ln-San-Jose-CA-95136/19818084_zpid/,"$699,000",San Jose,95136,Townhouse,1971,Forced air,No Data,0,$539,3,2.0,3 days,948,63,"$730,000","$2,995/mo",4,0.2 mi,4,1.2 mi,6,0.8 mi,san-jose-ca
"1,514",https://www.zillow.com/homedetails/1576-Ballantree-Way-San-Jose-CA-95118/19758247_zpid/,"$1,299,000",San Jose,95118,Single Family,1963,Forced air,Central,0,$858,3,2.0,1 day,355,19,"$1,296,946","$3,900/mo",7,0.3 mi,7,0.6 mi,8,0.3 mi,san-jose-ca
"1,657",https://www.zillow.com/homedetails/1218-Singletary-Ave-San-Jose-CA-95126/19575429_zpid/,"$1,499,000",San Jose,95126,Single Family,1920,Forced air,Central,0,$905,3,2.0,2 days,623,60,"$1,565,970","$3,900/mo",4,0.5 mi,3,0.3 mi,6,0.5 mi,san-jose-ca
"1,185",https://www.zillow.com/homedetails/1198-Turtlerock-Dr-San-Jose-CA-95122/19715672_zpid/,"$818,000",San Jose,95122,Single Family,1972,"Forced air, Gas",Central,0,$690,4,2.0,1 day,594,40,"$818,345","$3,500/mo",6,0.1 mi,3,0.4 mi,6,0.5 mi,san-jose-ca
"1,137",https://www.zillow.com/homedetails/349-Manila-Dr-San-Jose-CA-95119/19838095_zpid/,"$899,900",San Jose,95119,Single Family,1970,"Forced air, Gas",None,0,$791,3,2.0,6 days,"2,576",143,"$940,253","$3,600/mo",6,0.5 mi,6,0.4 mi,9,2.1 mi,san-jose-ca
"1,404",https://www.zillow.com/homedetails/1258-Naglee-Ave-San-Jose-CA-95126/19575317_zpid/,"$1,065,000",San Jose,95126,Single Family,1925,None,None,0,$759,3,2.0,3 days,"1,067",58,"$1,125,417","$3,500/mo",4,0.4 mi,3,0.2 mi,6,0.4 mi,san-jose-ca
"1,400",https://www.zillow.com/homedetails/169-Herlong-Ave-San-Jose-CA-95123/19827621_zpid/,"$899,000",San Jose,95123,Single Family,1966,Forced air,Central,0,$642,4,2.0,15 days,"2,721",70,"$994,695","$3,600/mo",4,0.4 mi,6,1.6 mi,6,0.9 mi,san-jose-ca
"1,652",https://www.zillow.com/homedetails/2072-Mayfield-Ave-San-Jose-CA-95130/19660621_zpid/,"$1,499,888",San Jose,95130,Single Family,1960,"Forced air, Gas",Central,0,$908,3,2.0,2 days,696,36,"$1,571,819","$3,995/mo",4,0.4 mi,6,1.6 mi,6,0.9 mi,san-jose-ca
"1,123",https://www.zillow.com/homedetails/4172-Santa-Susana-Way-San-Jose-CA-95111/19732767_zpid/,"$800,000",San Jose,95111,Single Family,1959,Other,No Data,0,$712,3,2.0,2 days,726,14,"$755,672","$3,450/mo",2,0.5 mi,3,0.4 mi,5,0.8 mi,san-jose-ca
849,https://www.zillow.com/homedetails/1260-Coyote-Creek-Pl-San-Jose-CA-95116/19570063_zpid/,"$535,000",San Jose,95116,Condo,1984,"Forced air, Gas",Wall,0,$630,2,2.0,2 days,686,21,"$536,311","$2,550/mo",3,0.2 mi,3,1.8 mi,3,0.2 mi,san-jose-ca
"1,468",https://www.zillow.com/homedetails/6258-Lillian-Way-San-Jose-CA-95120/19834623_zpid/,"$1,299,000",San Jose,95120,Single Family,1962,"Forced air, Electric, Gas",None,0,$885,3,2.0,2 days,720,35,"$1,331,474","$3,600/mo",8,0.5 mi,6,1 mi,9,1.5 mi,san-jose-ca
"2,124",https://www.zillow.com/homedetails/710-Hathaway-Ct-San-Jose-CA-95136/19708220_zpid/,"$1,150,000",San Jose,95136,Single Family,1976,Forced air,Central,0,$541,4,3.0,5 days,"1,737",89,"$1,205,717","$4,000/mo",5,0.5 mi,5,1.6 mi,4,0.2 mi,san-jose-ca
